date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
2/14/2014,62.437141,62.528572,61.669998,62.215714,11985400,76.89735037,73.06799563,77.03071387,100.9020839,53.60551422,54.25698644,50.41534276,50.49226243,2.867503506,57.0551428,0.858574,1.692010737,1.780574298,62.407143
2/18/2014,62.422855,63.034286,61.142857,62.407143,15507800,77.74258639,73.49637528,88.39434936,87.90445917,53.8357428,54.57660414,50.60157133,50.72900865,2.865738128,57.8180714,1.891429,1.720499061,1.788492491,61.175713
2/19/2014,61.667145,62.32143,61.138573,61.175713,16031400,60.99478815,66.20154847,-43.55963597,56.64858105,54.0362285,54.83539561,50.77455702,50.93656844,2.73346328,58.52892845,1.26857,1.655937766,1.75135517,62.135715
2/20/2014,61.478573,62.53857,61.308571,62.135715,11965100,67.38512377,68.80130448,38.77512721,65.88863656,54.2662571,55.12168572,50.94804273,51.1590633,2.675259918,59.25192855,1.362857,1.614069085,1.723605301,61.747143
2/21/2014,62.671429,62.671429,61.378571,61.747143,13483400,62.54620693,66.56930615,15.0845536,57.81932314,54.48499994,55.38151026,51.11922845,51.36940431,2.568174503,59.56271425,1.292858,1.568181787,1.692837636,63.857143
2/24/2014,62.209999,64.241432,61.214287,63.857143,26043500,74.25727282,71.90015898,214.4877958,102.6187161,54.72471422,55.71389131,51.31607133,51.61746779,2.623327817,59.99785715,3.027145,1.776605103,1.788145305,64.718575
2/25/2014,64.285713,65.398567,63.57143,64.718575,18700500,77.59419785,73.7411443,180.2762351,177.3897496,54.97914286,56.06701952,51.49951421,51.87769928,2.705361851,60.5107144,1.827137,1.783823946,1.790930426,64.112854
2/26/2014,65.128571,65.14286,63.714287,64.112854,15010100,70.13604023,70.25565262,99.14215351,162.3212203,55.19474284,56.38254533,51.66817132,52.12071518,2.690483572,60.81085705,1.428573,1.733073811,1.765047753,64.604286
2/27/2014,63.977142,64.875717,63.977142,64.604286,10304700,72.62645112,71.43531858,79.44958949,141.0731532,55.43262858,56.70496937,51.85461419,52.36865023,2.687368571,61.18092845,0.898575,1.613859695,1.703156842,63.66143
2/28/2014,64.732857,64.885712,63,63.66143,15751400,61.20238544,66.02492177,26.67903486,79.53772937,55.65925714,56.97777405,52.02371418,52.59292187,2.579089177,61.4734999,1.885712,1.652695738,1.716196496,63.655712
03-03-2014,63.027142,63.67857,62.585712,63.655712,13528200,61.13434663,65.99227857,-30.84358012,36.50255692,55.86131426,57.2396561,52.20575703,52.8126133,2.464407428,61.7324997,1.092858,1.572718919,1.671672318,64.997147
